有效应对国际金融危机的严重冲击,effectively counter the server impact of the global financial crisis
保持经济平稳较快发展,maintain steady and fast economic development
公共财政收入,government revenue
九连增,increase for nine consecutive years
重要领域改革取得新进展,progress is made in key areas of reform
····实现了重大突破,breakthroughs are made in doing sth
谱写了·····的新篇章,write a new chapter in sth
及时果断调整宏观调控着力点,make timely and decisive adjuments to the focus of macro_control
全面实施一揽子计划,implement a comprehensive package plan
保障性安居工程,build government-subsidized housing
灾后恢复重建,post-disater recovery and reconstruction
棚户区,run-down area
重大工程顺利推进或进行,smooth progress is made in major projects
西气东输/西电东送,transport natural gas and electricity from the west to the east
非化石能源,non-fossil energy source
南水北调,divert water from the south to north
实施积极的财政政策和适度宽松的货币政策,implement a proactive fiscal policy and a moderately easy monetary policy
调整政策力度,adjust the intensity of policy implementation
坚持统筹兼顾，注重综合平衡,take a holistic and balanced approach
财政赤字,the government deficit 
控制经济运行中的风险隐患,control latent economic risks
风险抵御能力持续增强,become better able to avert risks
不良贷款,non-performing loans
坚持····不动摇,keep a firm grid on
优化支出结构,improve the spending mix
扭转经济下滑趋势,reverse the decline in economic growth
就业持续增长,employment steadily increase
新兴经济题,emerging ecomomies
面对国际经济形势复杂多变、持续低迷的严峻挑战,faced with severe challenges posed by a complex and volatile international economic environment and a sluggish global economy
居民消费结构加快升级,the upgrading in the mix of private consumption
人均住房面积,the per capita living area
中国特色新型工业化道路,the new path of industrialization with distinctive Chinese features
大力推进产业转型升级,promote transformation and upgrading of industrial sectors
高技术制造业,high-tech manufacturing
能耗,energy consumption
化学含氧量,chemical oxygen demand
防沙治沙,prevent and control disertification
天然林保护,protect virgin forests
区域发展格局,a pattern of regional development
积极稳妥,actively yet prudently 
建立健全种粮农民补贴机制,establish a sound system for subsidizing grain formers
粮食最低收购价,minimum grain purchase prices
大力兴修水利,build more water conservancy projects
改造农村危房,renovate run-down house
无电区,areas without power supply
科教兴国,make China strong through the development of science and education
知识产权,intellectual property rights
推动····发展,give impetus to doing sth
优先····,give high priority to doing sth
九年免费义务教育,free nine-year compulsory education
国家助学机制,the system of state financial aid to students
教育部直属师范大学,teachers universities directly under the Ministry of education
高等教育毛入学率,the gross college enrollment rate 
15岁以上人口平均受教育年限,the average length of shooling of people over the age of 15
扎实推进,make solid progress in doing sth
突破····,make breakthroughs in doing sth
实施人才强国战略,implement the strategy for making China strong through training competent personnel  
实现免费开放,be open to the public free of charge
公益性文化事业单位,non-profit cultural institutions
非物质文化遗产保护和传承,preserve and pass on intangible cultural heritage
把人民利益放在第一位,put people's interests first
实施积极的就业政策,pursue a proactive employment policy
全面推进,make comprehensive progress in sth
新型农村社会养老保险,a new old-age insurance system for rural residents
城镇居民社会养老保险制度,an old-age insurance system for non-working urban residents
医药卫生制度,the medical and health care system
农村合作医疗制度,rural cooperative medical care system
城镇居民基本医疗保险制度,a basic medical insurance scheme for non-working urban residents
加强城乡基层医疗卫生服务体系建设,improve community-level medical and health care services
预期寿命,life expectancy
建立健全城镇保障性住房体制,establish a sound government-subsidized urban housing system
应急管理体系,emergency response system
社会保持和谐稳定,maintain social harmony and stability 
增强经济社会发展的内在活力,enhance the vitality of economic and social development
不失时机地····,lose no oppotunity to do sth
转移支付机制,the system of transfer payments
开展营业税改征增值税试点,implement VAT reform
加快转变经济发展方式,accelerate the change of growth model 
